Year,Month,RainfallMM
2014,9,47.0196
2014,10,63.8456
2014,11,102.131
2014,12,50.6548
2015,1,26.2482
2015,2,21.8238
2015,3,48.4594
2015,4,136.338
2015,5,101.457
2015,6,70.9284
2015,7,20.7931
2015,8,17.9734
2015,9,36.7493
2015,10,64.3615
2015,11,163.608
2015,12,63.2356
2016,1,56.7251
2016,2,18.22
2016,3,30.4865
2016,4,166.705
2016,5,70.6712
2016,6,34.905
2016,7,34.5489
2016,8,25.5342
2016,9,15.1428
2016,10,40.0055
2016,11,121.997
2016,12,100.261
