admin1,Jan_rain_min,Jan_rain_max,Jan_rain_mean,Jan_rain_count,Jan_rain_median,year,Feb_rain_min,Feb_rain_max,Feb_rain_mean,Feb_rain_median,Mar_rain_min,Mar_rain_max,Mar_rain_mean,Mar_rain_median,Apr_rain_min,Apr_rain_max,Apr_rain_mean,Apr_rain_median,May_rain_min,May_rain_max,May_rain_mean,May_rain_median,Jun_rain_min,Jun_rain_max,Jun_rain_mean,Jun_rain_median,Jul_rain_min,Jul_rain_max,Jul_rain_mean,Jul_rain_median,Aug_rain_min,Aug_rain_max,Aug_rain_mean,Aug_rain_median,Sep_rain_min,Sep_rain_max,Sep_rain_mean,Sep_rain_median,Oct_rain_min,Oct_rain_max,Oct_rain_mean,Oct_rain_median,Nov_rain_min,Nov_rain_max,Nov_rain_mean,Nov_rain_median,Dec_rain_min,Dec_rain_max,Dec_rain_mean,Dec_rain_median,silt_min,silt_max,silt_mean,silt_count,silt_median,bulkdensity_min,bulkdensity_max,bulkdensity_mean,bulkdensity_median,clay_min,clay_max,clay_mean,clay_median,harvested_area,production_mt,yield_mt_ha,value_ksh
Kisumu,53.80015945,108.0684433,69.28527832,120,67.48405457,2013,25.64446449,62.96741486,44.15598145,44.69566345,174.3865662,355.4860229,233.227181,234.734024,232.7384033,371.9481506,299.7934896,296.8387756,106.2310791,194.2004395,149.8186686,149.7382507,61.54001617,146.265686,96.91125488,94.69038391,36.52819824,121.529335,73.9969401,71.26028442,72.620224,193.1515198,131.5835449,127.3959122,112.0437317,246.9935608,164.7560221,158.9351196,79.69934082,155.0611572,115.3881673,114.2758942,101.8850632,197.6947327,138.740332,138.2297974,81.99617767,170.4881592,117.1815755,115.2989273,13,36,22.99117774,30151,23,956,1460,1257.425094,1270,19,60,37.33876157,38,,,,
Kitui,5.953845978,24.73687744,12.95269642,1096,12.69393158,2013,2.325548172,22.02333832,8.299200573,8.03674221,54.92186737,271.8620605,118.5487925,116.1126099,43.8117981,349.8886108,140.0507242,133.1675262,0.420746714,53.22422028,12.93691727,12.84716034,0.260877758,23.13376999,3.432141158,2.517709255,0.42330724,24.29666328,8.168998774,8.420470238,0.039321817,25.36310959,7.333103152,7.546702385,3.66270256,41.68095398,12.15812828,10.48575974,8.098829269,76.43151855,24.21490969,22.76976776,79.44528198,256.644165,146.5905566,144.5389404,37.91877747,232.6237793,99.67804802,99.77384949,8,30,16.92269518,428602,17,977,1570,1344.40571,1350,13,59,30.29881568,30,,,,
Kwale,3.836528063,40.621315,12.40156787,309,9.982624054,2013,4.427241802,28.388937,12.21670522,10.86573219,84.76272583,238.497345,133.5010366,126.3497314,42.73200607,222.9272461,121.360399,116.8145905,44.93641663,462.7874146,196.8476942,178.0233765,16.16682243,174.8613281,54.20428803,48.52093506,11.15855598,80.83932495,33.45414897,30.1070652,17.72719765,234.526886,66.74243401,64.38021851,34.98960876,214.151947,78.32003439,67.38852692,48.9243927,182.9105377,113.8083536,113.7355957,61.041996,194.3463593,124.2321248,125.2083817,38.27214813,158.0411072,101.7982529,100.2291565,7,27,16.31109005,116050,16,1200,1600,1390.658509,1390,10,52,24.76200776,24,,,,
Laikipia,9.868643761,85.47592926,29.74740907,369,27.16455269,2013,4.131864548,23.10673332,9.05066745,8.386603355,54.12892532,166.0562439,89.97238101,86.38874817,106.0546494,341.1517639,206.8010882,207.2762451,7.495484352,141.3904419,52.36575309,50.28714752,0.922266006,201.1809692,58.44604294,49.97127914,3.796127796,267.6291199,81.56757071,66.73534393,0.241732314,240.0005035,82.65873772,72.03577423,4.79369545,118.1380234,42.03873963,40.61561203,25.33335304,106.0196304,56.58582105,54.38932037,41.69333267,203.7911987,95.76086128,92.95957947,27.25139999,149.1727448,69.42596651,68.08466339,12,36,25.00815167,134819,25,946,1510,1220.883703,1220,16,59,33.12585763,33,,,,
Lamu,0.144136339,13.2422142,6.251134144,220,5.739593506,2013,0.040726595,9.120775223,3.671486317,3.60789299,2.085138559,175.475296,87.95809659,93.22824097,3.250447273,137.1938782,80.26823509,82.17562866,11.02149391,489.7015381,330.1662287,361.038147,1.884527206,75.81741333,57.37309126,65.0114212,1.846815228,72.08302307,47.73967951,51.53609467,0.69844687,67.1782074,21.01970437,20.43849182,0.942543149,38.03369141,22.36069558,22.55870438,1.224202037,55.36861038,35.07565252,35.37751389,1.791457891,163.9581299,88.56676136,91.82266235,0.65544349,85.90370941,45.32357955,48.42207336,10,34,23.41636186,85027,24,1260,1660,1428.740894,1430,12,47,32.40378938,33,,,,
Machakos,9.321393967,55.33703995,28.19011726,261,28.80471802,2013,5.315583229,22.92082596,10.88755874,10.17963028,93.36960602,247.2879028,145.8898767,143.8916168,138.5473633,383.4554443,244.0586237,237.7814484,9.86557579,60.83628082,25.5930709,23.3498764,0.882256866,20.0841732,8.077855603,7.542111874,0.13015236,16.55162811,5.548472204,5.399382591,0.150134385,18.6006031,7.083457274,6.409358025,5.838147163,29.31721306,13.53892687,13.21574402,10.62553215,52.57265472,22.61431394,21.40402985,46.57139206,203.6598206,113.7114015,111.9294357,65.37014771,174.1627655,114.3583273,116.5428696,9,30,16.36250531,84796,16,1000,1530,1317.185245,1320,13,65,35.13244729,34,,,,
Makueni,6.407605171,55.33703995,19.01925677,338,15.44254875,2013,4.801174641,31.49494934,13.59209736,13.51647758,76.54812622,215.1958923,125.8532498,124.489563,90.48975372,304.7600403,164.3375092,154.8372803,7.305387497,79.60538483,22.61392266,20.60625839,0.570660293,22.65051079,5.700680705,4.912973881,2.47E-08,17.66849709,5.398849939,4.786235809,0.056504596,25.5819397,6.721257859,5.89068222,2.668677568,42.71506119,10.40366124,9.030920029,5.766057491,78.65228271,23.59968594,20.78330612,82.60206604,227.0734253,144.5065643,143.9358368,81.50209808,285.8038025,134.7970137,132.5623322,9,35,16.63218599,116094,15,869,1530,1332.626596,1350,11,57,29.02407532,29,,,,
Mandera,0.443221211,8.353338242,2.779137008,872,1.952456713,2013,0.604169488,10.82727718,3.854867078,3.620630741,58.18283463,137.9947357,103.5684938,107.3501053,115.7967911,267.4927368,182.2702838,184.747406,5.679934978,58.65717316,24.24998432,21.03096199,0.837790251,8.169426918,2.620375327,2.322473764,0.008671653,12.72042465,4.909570536,4.883105755,4.70E-08,8.869155884,4.499209623,4.424524307,0.802907825,15.56351185,6.161151851,6.685438156,18.35985947,78.95014954,42.88663812,41.10593796,60.49763489,185.3290253,124.6660873,124.8968964,0.416811675,16.71537781,6.645075527,5.736344814,13,34,23.09356727,354686,23,1170,1560,1397.251563,1410,15,39,26.46198328,26,,,,
Marsabit,2.323809624,68.8035965,13.24383528,2565,12.16425037,2013,1.895731211,27.49868011,5.747637975,4.947301388,22.95380592,346.7833252,88.79516326,82.24549866,42.6398735,552.5491943,162.4034357,153.5525208,0.364611834,97.45314026,20.3209643,16.97007751,6.70E-09,44.74473572,3.593616746,0.885794997,0,46.86261749,9.16690424,6.734027386,0,33.03509903,3.822985578,2.124843121,5.09E-09,49.82264328,4.926093445,3.233470201,0.08220046,180.4351349,31.3698404,28.6828537,3.02102232,265.822876,87.1667154,79.49137878,3.026318789,42.76142502,11.39011407,9.852695465,6,37,22.78216554,972477,24,879,1640,1349.497154,1360,10,57,30.2528286,30,,,,
Meru,12.71179104,69.55097961,35.53803325,278,32.92911911,2013,2.88899231,23.68733215,9.641364448,8.895717621,59.51235962,249.8256378,141.9974567,139.134613,128.9392853,601.4104004,330.7645852,320.4412842,0.646949172,105.3363647,25.83669276,20.21599388,0.001351507,75.82776642,13.93510338,4.860864639,5.99E-11,90.01286316,16.62868846,9.864212036,7.79E-08,105.2324677,14.4935092,8.649877548,3.22852087,94.81933594,17.92416009,12.15689278,23.80316353,113.934845,56.51051737,49.20559692,82.17490387,466.6013184,229.3980441,220.4545288,29.76874542,178.0414886,77.95433341,74.92681122,10,46,25.04633072,98984,25,710,1430,1135.752849,1150,16,84,42.31157561,41,,,,
