Date,Open,High,Low,Close,AdjClose,Volume
17/08/2017,18.755413,18.982735,18.629124,18.634735,18.634735,1649779
18/08/2017,18.59264,18.800316,18.502834,18.7498,18.7498,1365789
21/08/2017,18.735767,18.859251,18.54493,18.822767,18.822767,2904752
22/08/2017,19.094992,19.355989,19.036057,19.283024,19.283024,3897113
23/08/2017,19.123056,19.428959,19.123056,19.420538,19.420538,3052626
24/08/2017,19.428959,19.675924,19.428959,19.622602,19.622602,3006304
25/08/2017,19.931311,20.374727,19.8836,20.133373,20.133373,8583128
28/08/2017,20.122147,20.531887,20.063211,20.430855,20.430855,3551479
29/08/2017,20.312984,20.565563,20.035149,20.470144,20.470144,2672428
30/08/2017,20.512241,20.851822,20.484179,20.832176,20.832176,3611698
31/08/2017,20.896725,21.048271,20.849014,21.028625,21.028625,4385990
01/09/2017,21.042658,21.067917,20.893917,20.980917,20.980917,4858475
05/09/2017,20.871466,21.076336,20.742371,20.992144,20.992144,5303880
06/09/2017,21.048271,21.087561,20.952852,20.958466,20.958466,7478880
07/09/2017,20.907949,21.14369,20.846209,20.89953,20.89953,7320316
08/09/2017,20.874271,21.121239,20.823755,20.840595,20.840595,4231701
11/09/2017,21.081947,21.219463,21.008982,21.177366,21.177366,5352340
12/09/2017,21.188593,21.40469,21.12685,21.399076,21.399076,4059953
13/09/2017,21.401882,21.589912,21.368204,21.533785,21.533785,4696704
14/09/2017,21.530977,21.803204,21.491688,21.71059,21.71059,5563996
15/09/2017,21.682526,21.727428,21.564655,21.603947,21.603947,12313125
18/09/2017,21.56185,21.730234,21.494495,21.567463,21.567463,3515847
19/09/2017,21.603947,21.676912,21.438366,21.559044,21.559044,3352294
20/09/2017,21.550623,21.651655,21.477655,21.56185,21.56185,5695123
21/09/2017,21.491688,21.643236,21.244722,21.497301,21.497301,2662808
22/09/2017,21.508528,21.612366,21.452398,21.612366,21.612366,3148477
25/09/2017,21.530977,21.595526,21.211044,21.309271,21.309271,5187718
26/09/2017,21.469236,21.491688,21.309271,21.362593,21.362593,8079642
27/09/2017,21.472042,21.761106,21.472042,21.643236,21.643236,4617956
28/09/2017,21.637623,21.704977,21.488882,21.651655,21.651655,3929539
29/09/2017,21.696558,21.777945,21.626396,21.668493,21.668493,4027884
02/10/2017,21.676912,22.01088,21.674107,21.873363,21.873363,5107902
03/10/2017,21.887396,22.081039,21.862139,21.965977,21.965977,4300828
04/10/2017,21.968782,22.013685,21.811623,21.951944,21.951944,4130149
05/10/2017,22.030523,22.221361,21.960363,22.182072,22.182072,4806095
06/10/2017,22.07262,22.187683,21.98562,22.182072,22.182072,4832820
09/10/2017,22.207329,22.31678,22.170847,22.243813,22.243813,2616842
10/10/2017,22.322393,22.398167,22.134361,22.193296,22.193296,3383651
11/10/2017,22.196104,22.311169,22.134361,22.271877,22.271877,4204977
