Year,Month_Average,Date,TempDegC
2002,Mar,2002-Mar-25,27.0802
2002,Apr,2002-Apr-25,26.4038
2002,May,2002-May-25,25.7182
2002,Jun,2002-Jun-25,24.4419
2002,Jul,2002-Jul-25,23.7321
2002,Aug,2002-Aug-25,24.5022
2002,Sep,2002-Sep-25,25.0192
2002,Oct,2002-Oct-25,25.6157
2002,Nov,2002-Nov-25,25.5577
2002,Dec,2002-Dec-25,25.6499
2003,Jan,2003-Jan-25,25.9206
2003,Feb,2003-Feb-25,26.2382
2003,Mar,2003-Mar-25,27.1914
2003,Apr,2003-Apr-25,27.0047
2003,May,2003-May-25,25.8128
2003,Jun,2003-Jun-25,24.411
2003,Jul,2003-Jul-25,23.8584
2003,Aug,2003-Aug-25,23.9016
2003,Sep,2003-Sep-25,24.5353
2003,Oct,2003-Oct-25,25.4204
2003,Nov,2003-Nov-25,25.3879
2003,Dec,2003-Dec-25,25.77
2004,Jan,2004-Jan-25,26.3393
2004,Feb,2004-Feb-25,26.9267
2004,Mar,2004-Mar-25,26.6257
2004,Apr,2004-Apr-25,25.8352
2004,May,2004-May-25,25.6915
2004,Jun,2004-Jun-25,24.6079
2004,Jul,2004-Jul-25,23.7949
2004,Aug,2004-Aug-25,24.5243
2004,Sep,2004-Sep-25,24.4596
2004,Oct,2004-Oct-25,24.4763
2004,Nov,2004-Nov-25,25.1573
2004,Dec,2004-Dec-25,25.3106
2005,Jan,2005-Jan-25,24.8122
2005,Feb,2005-Feb-25,27.1921
2005,Mar,2005-Mar-25,27.4049
2005,Apr,2005-Apr-25,26.7171
2005,May,2005-May-25,25.1366
2005,Jun,2005-Jun-25,24.1579
2005,Jul,2005-Jul-25,23.5231
2005,Aug,2005-Aug-25,23.9151
2005,Sep,2005-Sep-25,25.2023
2005,Oct,2005-Oct-25,25.1685
2005,Nov,2005-Nov-25,25.3178
2005,Dec,2005-Dec-25,25.4102
2006,Jan,2006-Jan-25,26.012
2006,Feb,2006-Feb-25,26.9355
2006,Mar,2006-Mar-25,27.0357
2006,Apr,2006-Apr-25,25.8867
2006,May,2006-May-25,24.986
2006,Jun,2006-Jun-25,24.4074
2006,Jul,2006-Jul-25,23.548
2006,Aug,2006-Aug-25,24.2949
2006,Sep,2006-Sep-25,24.1269
2006,Oct,2006-Oct-25,25.8045
2006,Nov,2006-Nov-25,25.1589
2006,Dec,2006-Dec-25,24.8899
2007,Jan,2007-Jan-25,25.5855
2007,Feb,2007-Feb-25,26.4363
2007,Mar,2007-Mar-25,26.6092
2007,Apr,2007-Apr-25,26.0444
2007,May,2007-May-25,25.5509
2007,Jun,2007-Jun-25,23.7128
2007,Jul,2007-Jul-25,22.7807
2007,Aug,2007-Aug-25,23.6905
2007,Sep,2007-Sep-25,24.7334
2007,Oct,2007-Oct-25,25.5032
2007,Nov,2007-Nov-25,24.8829
2007,Dec,2007-Dec-25,25.1843
2008,Jan,2008-Jan-25,25.9522
2008,Feb,2008-Feb-25,26.0127
2008,Mar,2008-Mar-25,26.2269
2008,Apr,2008-Apr-25,25.4593
2008,May,2008-May-25,24.5696
2008,Jun,2008-Jun-25,23.5775
2008,Jul,2008-Jul-25,23.2604
2008,Aug,2008-Aug-25,24.4005
2008,Sep,2008-Sep-25,25.4872
2008,Oct,2008-Oct-25,25.3388
2008,Nov,2008-Nov-25,24.499
2008,Dec,2008-Dec-25,24.8051
2009,Jan,2009-Jan-25,25.6666
2009,Feb,2009-Feb-25,26.1369
2009,Mar,2009-Mar-25,27.0794
2009,Apr,2009-Apr-25,26.8432
2009,May,2009-May-25,25.418
2009,Jun,2009-Jun-25,24.6483
2009,Jul,2009-Jul-25,23.8074
2009,Aug,2009-Aug-25,24.7409
2009,Sep,2009-Sep-25,25.2241
2009,Oct,2009-Oct-25,25.6667
2009,Nov,2009-Nov-25,25.5432
2009,Dec,2009-Dec-25,26.582
2010,Jan,2010-Jan-25,26.2326
2010,Feb,2010-Feb-25,26.4022
2010,Mar,2010-Mar-25,27.0585
2010,Apr,2010-Apr-25,26.7494
2010,May,2010-May-25,25.2216
2010,Jun,2010-Jun-25,24.1788
2010,Jul,2010-Jul-25,23.5993
2010,Aug,2010-Aug-25,24.1275
2010,Sep,2010-Sep-25,24.7352
2010,Oct,2010-Oct-25,25.7465
2010,Nov,2010-Nov-25,25.2708
2010,Dec,2010-Dec-25,25.984
2011,Jan,2011-Jan-25,26.1305
2011,Feb,2011-Feb-25,26.0875
2011,Mar,2011-Mar-25,26.8969
2011,Apr,2011-Apr-25,27.0179
2011,May,2011-May-25,25.8316
2011,Jun,2011-Jun-25,24.4374
2011,Jul,2011-Jul-25,23.8652
2011,Aug,2011-Aug-25,23.9092
2011,Sep,2011-Sep-25,24.8131
2011,Oct,2011-Oct-25,24.8914
2011,Nov,2011-Nov-25,24.9862
2011,Dec,2011-Dec-25,25.0738
2012,Jan,2012-Jan-25,24.9748
2012,Feb,2012-Feb-25,25.9048
2012,Mar,2012-Mar-25,27.5007
2012,Apr,2012-Apr-25,26.1119
2012,May,2012-May-25,25.5211
2012,Jun,2012-Jun-25,24.1384
2012,Jul,2012-Jul-25,23.423
2012,Aug,2012-Aug-25,24.3426
2012,Sep,2012-Sep-25,25.22
2012,Oct,2012-Oct-25,25.7267
2012,Nov,2012-Nov-25,25.4841
2012,Dec,2012-Dec-25,24.5937
2013,Jan,2013-Jan-25,25.5601
2013,Feb,2013-Feb-25,26.66
2013,Mar,2013-Mar-25,27.1454
2013,Apr,2013-Apr-25,25.0039
2013,May,2013-May-25,25.5921
2013,Jun,2013-Jun-25,23.2803
2013,Jul,2013-Jul-25,23.7706
2013,Aug,2013-Aug-25,23.5732
2013,Sep,2013-Sep-25,25.195
2013,Oct,2013-Oct-25,25.2564
2013,Nov,2013-Nov-25,25.812
2013,Dec,2013-Dec-25,25.3371
2014,Jan,2014-Jan-25,25.6409
2014,Feb,2014-Feb-25,26.6889
2014,Mar,2014-Mar-25,26.8922
2014,Apr,2014-Apr-25,25.4701
2014,May,2014-May-25,25.6096
2014,Jun,2014-Jun-25,25.0937
2014,Jul,2014-Jul-25,24.5677
2014,Aug,2014-Aug-25,23.8324
2014,Sep,2014-Sep-25,24.8383
2014,Oct,2014-Oct-25,25.4047
2014,Nov,2014-Nov-25,25.4512
2014,Dec,2014-Dec-25,25.4477
2015,Jan,2015-Jan-25,25.0435
2015,Feb,2015-Feb-25,26.386
2015,Mar,2015-Mar-25,26.5572
2015,Apr,2015-Apr-25,26.0706
2015,May,2015-May-25,25.0663
2015,Jun,2015-Jun-25,24.5884
2015,Jul,2015-Jul-25,24.4622
2015,Aug,2015-Aug-25,24.3538
2015,Sep,2015-Sep-25,25.425
2015,Oct,2015-Oct-25,26.9733
2015,Nov,2015-Nov-25,25.2908
2015,Dec,2015-Dec-25,26.2345
2016,Jan,2016-Jan-25,27.0367
2016,Feb,2016-Feb-25,27.5964
2016,Mar,2016-Mar-25,27.7507
2016,Apr,2016-Apr-25,26.9416
2016,May,2016-May-25,25.3344
2016,Jun,2016-Jun-25,24.2913
2016,Jul,2016-Jul-25,24.256
2016,Aug,2016-Aug-25,24.0942
2016,Sep,2016-Sep-25,24.437
2016,Oct,2016-Oct-25,26.0317
2016,Nov,2016-Nov-25,25.5692
2016,Dec,2016-Dec-25,25.7401
