Date	PostType	Content	Image	Like	Retweet	Reply	
2023-03-01T12:52:04.000Z	image	Today we met Namibian deputy education minister with ?? members to plan partnerships between kstvet and ?? .especially in Educ tech and staff exchange ?? ?? ?@kttc_kenya? ?? ?	"https://pbs.twimg.com/media/FqIrb0bXgAM3Nzg?format=jpg&name=small,https://pbs.twimg.com/media/FqIrcZIWIAEdojR?format=jpg&name=360x360,https://pbs.twimg.com/media/FqIrc3fWIAITMgw?format=jpg&name=360x360"	56	10	9	
2023-02-27T14:08:38.000Z	image	"Today ??? we started a 3 day workshop to develop a framework for a blended Tvet teacher ?? is the main facilitator. Our MP ?Hon ??  Clive , represented KNA . Blended learning new frontier in Educ.?? ?"	"https://pbs.twimg.com/media/Fp-pwVzXgAIEOOA?format=jpg&name=360x360,https://pbs.twimg.com/media/Fp-pxaqXoAAgY1v?format=jpg&name=360x360,https://pbs.twimg.com/media/Fp-pyFXXwAAIt1n?format=jpg&name=360x360,https://pbs.twimg.com/media/Fp-pyooWIAI_GS8?format=jpg&name=360x360"	58	16	2	
2023-02-19T17:47:10.000Z	text	Ensure you call out to all . And please use intercom system. The VIP lounge is part of check in space at the airport.					
2023-02-19T17:45:36.000Z	text	??????				1	
2023-02-19T17:43:13.000Z	image		https://pbs.twimg.com/media/FpWOL-3WIAEl8Kh?format=jpg&name=small	1	1	1	
2023-02-19T14:11:17.000Z	text	From 		6	2	1	
2023-02-19T14:09:48.000Z	image	Tvet trainers have funds for pedagogy      @kttc_kenya	https://pbs.twimg.com/media/FpVdWCOWAAcJjCe?format=jpg&name=small	52	12	5	
2023-02-19T11:43:46.000Z	text	 please be serious with your work . Today guys were left while seated at VIP lounge in eld . Reason given your workers forget to come and call them to board . Poor service.				1	
2023-02-19T05:56:21.000Z	text	"“There is a time for everything,
    and a season for every activity under the heavens:
    a time to be born and a time to die,
    a time to plant and a time to uproot,
    a time to kill and a time to heal,
    a time to tear down and a time to build,”
    Ecc 3"		48	4	2	
2023-02-17T11:27:44.000Z	image	On Wednesday KSTVET hosted over 200 MoE Principals to layout strategies for implementation of government agenda inTvet ?? ?? ?@kttc_kenya? ??	"https://pbs.twimg.com/media/FpKlDN0XEAIlEI7?format=jpg&name=360x360,https://pbs.twimg.com/media/FpKlDpwWAAAWEeQ?format=jpg&name=360x360,https://pbs.twimg.com/media/FpKlD_6WIAAbHjS?format=jpg&name=360x360,https://pbs.twimg.com/media/FpKlEZlX0AAeJJp?format=jpg&name=360x360"	97	14	4	
2023-02-16T21:53:19.000Z	text	"For late valentine massage . UB 40 said it well.

UB40 - Stick By Me  via "		16		1	
2023-02-09T17:12:36.000Z	image	Today we had good engagement with principals of RIAT and Bushiangala Tvc and our trainers trainees from kstvet on teaching practice.Let’s keep learning and improving together in Tvet .	"https://pbs.twimg.com/media/FoinRYRXEAQMbTM?format=jpg&name=360x360,https://pbs.twimg.com/media/FoinSBwWAAAhNLw?format=jpg&name=360x360"	55	7	3	
2023-01-26T11:23:40.000Z	image	The TVET option - Daily Nation .	https://pbs.twimg.com/media/FnZRJwtXgAExPr2?format=jpg&name=medium			12	
2023-01-24T16:54:11.000Z	text	"It’s very sad . Prof Magoha was one brilliant scholar , medic and administrator . I was privileged to work with him at  and .    He helped to positively shape many in his career . May God rest him in peace ."		7	2		
2023-01-24T14:52:40.000Z	image	Today The Ps Tvet Dr Esther Muoria opened two capacity building trainings for Kenyan Tvet managers at Eldoret Poly and RVTTI .This part of massive CPD program being done by ?@kttc_kenya? (KSTVET) across Kenya ?? ?? ??	"https://pbs.twimg.com/media/FnPty2jXoAEw0nx?format=jpg&name=360x360,https://pbs.twimg.com/media/FnPtzXPXwAIp30d?format=jpg&name=360x360,https://pbs.twimg.com/media/FnPtzz7WQAIMqU6?format=jpg&name=360x360,https://pbs.twimg.com/media/FnPt0M6X0AEDtyQ?format=jpg&name=360x360"	58	14	2	
2023-01-22T07:20:20.000Z	text	"Don’t Doubt God 
“His neighbors and those who had formerly seen him begging asked, “Isn’t this the same man who used to sit and beg?”Some claimed that he was.Others said, “No, he only looks like him.”But he himself insisted,“I am the man.”“How then were your eyes opened?” 
John 8"			17	1	
2023-01-18T06:51:23.000Z	image	Ps Tvet Dr Esther Muoria today opened a one month skills training for Tvet trainers and quality assurance officers from Somalia. The program is sponsored JICA and undertaken by Kstvet. ?? ?? ?? ??	"https://pbs.twimg.com/media/FmvGGq8XkAEcj0u?format=jpg&name=small,https://pbs.twimg.com/media/FmvGHUXXgAEsNTZ?format=jpg&name=small,https://pbs.twimg.com/media/FmvGHzNXEAEhMHY?format=jpg&name=360x360"		28	11	
2023-01-17T17:04:04.000Z	text	It’s not genuine according to MoE It’s a 2019 advert .		1			
2023-01-16T17:59:32.000Z	image	The G.O.A.T  in athletics has broken another record! .This is the kind of belief and philanthropy that Kenyan people should embrace. ?? ?? ??? ?? ?? ?? ?	https://pbs.twimg.com/media/FmnL1ZpXEAITX9v?format=jpg&name=small		21	5	
2023-01-15T03:44:17.000Z	text	"“A merry heart makes a cheerful countenance,
But by sorrow of the heart the spirit is broken.”
Proverbs 15:13 
Be happy and God bless"			12		
2023-01-12T17:51:37.000Z	text	    		1			
2023-01-10T13:47:33.000Z	image	"Privileged today to take part in a consultative meeting between Cs , MoE ?? , PSs , German delegation ,COG Education chair HE Dr mutai , HE Hon Cheboi baringo Governor. Tvet will immensely benefit from this collaboration."	https://pbs.twimg.com/media/FmHYp4wWAAUa05A?format=jpg&name=small	83	10	11	
2023-01-01T14:27:53.000Z	image	"Kstvet family, you’re great always !"	https://pbs.twimg.com/media/FlZLk4LXwAI7sRF?format=jpg&name=small	139	16	9	
2023-01-01T10:26:09.000Z	text	"Happy New year 2023 

“Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.”
Philippians"		49	5	4	
2022-12-15T17:52:22.000Z	image	Kttc has been rebranded to Kenya School of Tvet  with a redefined and expanded mandate to take of development and capacity building of Tvet practitioners in Kenya . In conformity with legal Order 123 of 2022 and Presidential order 1 of 2022 . Let’s keep Tvet practice contemporary	https://pbs.twimg.com/media/FkCXWL1XoAEUzhk?format=jpg&name=small			71	
2022-12-07T12:21:00.000Z	text	    		4	2		
2022-12-07T09:43:06.000Z	image	“Let’s move Kenya from a certificate country to a skills country’	https://pbs.twimg.com/media/FjXapcmXEAcLR3d?format=jpg&name=small	177	37	16	
2022-11-29T14:48:33.000Z	text	    		6			
2022-11-29T11:52:42.000Z	image	Today we hosted Ethiopian delegation on benchmark and idea exchange@kttc@tveta	"https://pbs.twimg.com/media/FiurkZWXkAIIc9e?format=jpg&name=360x360,https://pbs.twimg.com/media/Fiurk8fWIAEz3yQ?format=jpg&name=360x360,https://pbs.twimg.com/media/FiurleLXwAELhmL?format=jpg&name=360x360,https://pbs.twimg.com/media/FiurmCIVsAAMtfl?format=jpg&name=360x360"		16	4	
2022-11-28T11:02:57.000Z	text	" and others need to learn from you ,your Excellency. !"		1			
