Year,YrAverage
1991,24.70733333
1992,24.61329167
1993,24.50343333
1994,24.55193333
1995,24.89836667
1996,24.81435
1997,24.7908
1998,24.96471667
1999,24.86473333
2000,24.90475
2001,25.09575833
2002,25.47806667
2003,25.45435833
2004,25.31244167
2005,25.32981667
2006,25.2572
2007,25.05950833
2008,24.96576667
2009,25.61305833
2010,25.4422
2011,25.32839167
2012,25.24515
2013,25.182175
2014,25.41145
2015,25.53763333
2016,25.75660833
